routine,library,starpu_sched,n,gflops
sgetrf,plasma_2_8_0,,10000,1058.33435
sgetrf,plasma_2_8_0,,15848,1191.7318
sgetrf,lapack,,398,0.91955
sgetrf,lapack,,630,3.64
sgetrf,lapack,,1000,6.97785
sgetrf,lapack,,1584,14.84285
sgetrf,lapack,,2511,46.67785
sgetrf,lapack,,3981,88.5217
sgetrf,lapack,,6309,182.213
sgetrf,lapack,,10000,180.6487
sgetrf,lapack,,15848,233.31995
sgeqrf,vendor,,398,1.17185
sgeqrf,vendor,,630,5.3518
sgeqrf,vendor,,1000,53.6856
sgeqrf,vendor,,1584,95.2724
sgeqrf,vendor,,2511,282.8612
sgeqrf,vendor,,3981,292.3007
sgeqrf,vendor,,6309,791.6959
sgeqrf,vendor,,10000,1021.5831
sgeqrf,vendor,,15848,1526.91445
sgeqrf,plasma_17,,398,4.6979
sgeqrf,plasma_17,,630,8.32005
sgeqrf,plasma_17,,1000,15.61175
sgeqrf,plasma_17,,1584,41.64345
sgeqrf,plasma_17,,2511,134.6136
sgeqrf,plasma_17,,3981,334.4197
sgeqrf,plasma_17,,6309,756.45135
sgeqrf,plasma_17,,10000,1103.8923
sgeqrf,plasma_17,,15848,1345.71785
sgeqrf,plasma_2_8_0,,398,3.4532
sgeqrf,plasma_2_8_0,,630,10.0078
sgeqrf,plasma_2_8_0,,1000,27.34675
sgeqrf,plasma_2_8_0,,1584,69.3817
sgeqrf,plasma_2_8_0,,2511,204.2055
sgeqrf,plasma_2_8_0,,3981,482.2307
sgeqrf,plasma_2_8_0,,6309,892.57245
sgeqrf,plasma_2_8_0,,10000,1149.7288
sgeqrf,plasma_2_8_0,,15848,1343.3453
sgeqrf,plasma_kstar,eager,398,2.43205
sgeqrf,plasma_kstar,eager,630,8.79895
sgeqrf,plasma_kstar,eager,1000,27.21425
sgeqrf,plasma_kstar,eager,1584,81.0284
sgeqrf,plasma_kstar,eager,2511,221.52555
sgeqrf,plasma_kstar,eager,3981,561.95025
sgeqrf,plasma_kstar,eager,6309,976.2705
sgeqrf,plasma_kstar,eager,10000,1201.1029
sgeqrf,plasma_kstar,eager,15848,1316.06805
sgeqrf,plasma_kstar,ws,398,3.1544
sgeqrf,plasma_kstar,ws,630,7.12645
sgeqrf,plasma_kstar,ws,1000,24.5705
sgeqrf,plasma_kstar,ws,1584,70.2187
sgeqrf,plasma_kstar,ws,2511,229.33235
sgeqrf,plasma_kstar,ws,3981,561.55835
sgeqrf,plasma_kstar,ws,6309,910.3788
sgeqrf,plasma_kstar,ws,10000,1085.50635
sgeqrf,plasma_kstar,ws,15848,1201.25875
sgeqrf,plasma_kstar,dmda,398,4.54015
sgeqrf,plasma_kstar,dmda,630,9.678
sgeqrf,plasma_kstar,dmda,1000,28.38415
sgeqrf,plasma_kstar,dmda,1584,75.85315
sgeqrf,plasma_kstar,dmda,2511,187.5866
sgeqrf,plasma_kstar,dmda,3981,446.6808
sgeqrf,plasma_kstar,dmda,6309,831.95115
sgeqrf,plasma_kstar,dmda,10000,1056.5797
sgeqrf,plasma_kstar,dmda,15848,1172.4175
sgeqrf,lapack,,398,1.205
sgeqrf,lapack,,630,2.45405
sgeqrf,lapack,,1000,7.59625
sgeqrf,lapack,,1584,14.41735
sgeqrf,lapack,,2511,36.28235
sgeqrf,lapack,,3981,79.9585
sgeqrf,lapack,,6309,281.4911
sgeqrf,lapack,,10000,409.5073
sgeqrf,lapack,,15848,469.1897
