Seconds,GFLOPS
0.3204,5.8845
0.8172,21.7255
1.6170,39.3199
2.8844,53.8659
4.5408,68.0751
6.5655,82.3733
9.0032,96.2423
11.8588,109.8021
15.2176,122.4703
19.0808,134.5469
23.3189,147.0379
28.2686,157.9221
34.0154,167.2672
40.6399,175.2228
48.4558,181.0802
57.4600,185.6197
66.9958,191.2204
79.3462,191.8956
93.2214,192.3097
108.1759,193.4861
