Seconds,GFLOPS
0.1022,32.6553
0.3285,81.2145
0.5705,157.7955
1.0247,208.2297
1.5743,264.7090
2.2915,314.2460
3.2184,355.2895
4.3028,396.6806
5.6082,433.3308
7.3392,454.2172
9.3711,473.4749
11.8174,487.4469
14.6137,501.1552
17.9982,508.2274
21.6938,518.6074
26.1066,523.0080
31.0676,527.1530
36.6359,530.6493
42.7540,534.7862
49.7849,535.6581
