Seconds,GFLOPS
0.0815,40.9281
0.3666,72.7583
0.8591,104.7881
1.8082,118.0056
3.1164,133.7208
4.7222,152.4897
7.0909,161.2558
9.9672,171.2436
13.2609,183.2608
17.5445,190.0070
22.7602,194.9445
28.5858,201.5110
35.2959,207.4962
43.4943,210.3071
52.5592,214.0550
62.0721,219.9695
73.6008,222.5164
87.1373,223.1054
100.5612,227.3665
116.2468,229.4056
