Seconds,GFLOPS
0.0590,56.5676
0.2231,119.5970
0.5253,171.3638
1.0047,212.3792
1.7288,241.0538
2.7685,260.1028
4.2243,270.6874
6.0836,280.5613
8.5856,283.0565
11.6070,287.2046
15.3439,289.1674
19.8250,290.5608
25.1952,290.6808
31.6338,289.1574
38.8497,289.5918
47.0526,290.1852
56.5380,289.6706
67.4478,288.2351
79.3741,288.0566
92.8327,287.2659

