Seconds,GFLOPS
0.2508,7.5174
0.5985,29.6648
1.2442,51.1038
2.2361,69.4824
3.4811,88.7976
5.0829,106.4011
7.0099,123.6104
9.2699,140.4669
11.9731,155.6580
15.0481,170.6033
18.5018,185.3205
22.5581,197.8996
27.2663,208.6701
32.5812,218.5630
39.2303,223.6639
46.4022,229.8534
54.7787,233.8677
64.6817,235.4018
75.8045,236.4950
87.3360,239.6552
