Seconds,GFLOPS
0.2368,7.9633
0.6195,28.6588
1.2319,51.6140
2.1773,71.3584
3.4553,89.4619
4.9735,108.7422
6.8776,125.9869
9.0844,143.3357
11.7236,158.9704
14.4784,177.3161
17.5216,195.6880
20.9786,212.7992
25.0182,227.4209
29.8932,238.2162
44.7457,196.0948
38.6327,276.0794
44.2892,289.2571
50.4174,302.0025
57.3771,312.4487
64.8101,322.9516
