Seconds,GFLOPS
0.2716,6.9425
0.6755,26.2802
1.2878,49.3721
2.2576,68.8213
3.5358,87.4255
5.0687,106.6995
6.9657,124.3948
9.1412,142.4460
11.6270,160.2908
14.5142,176.8794
17.6354,194.4251
21.0188,212.3927
24.8278,229.1649
28.9625,245.8716
33.5154,261.8017
38.4891,277.1099
43.9318,291.6106
50.1119,303.8438
57.0850,314.0472
64.2759,325.6357
