Seconds,GFLOPS
0.0826,40.3825
0.2849,93.6471
0.5289,170.2232
0.9607,222.0965
1.4824,281.1140
2.1225,339.2601
2.9741,384.4744
3.9931,427.4415
5.2332,464.3834
6.8368,487.5909
8.8072,503.7890
11.0683,520.4377
13.9297,525.7649
17.3954,525.8381
20.7646,541.8136
24.9011,548.3281
30.0499,545.0060
35.4154,548.9363
41.4465,551.6569
48.7252,547.3073

