K/NRHS,seconds
1,0.198
1,0.584
1,1.358
1,2.476
1,3.900
1,5.585
1,7.556
1,9.926
1,13.022
1,16.260
1,19.683
1,23.989
1,29.074
1,34.154
1,40.460
1,48.165
1,56.629
1,65.916
1,76.530
1,88.193
