
 Status Error Seconds GFLOPS M N PadA NB IB Hous. mode Ortho.

 --- --- 2.6004 15.3456 20000 1000 0 256 64 f ---
 --- --- 5.0037 32.3337 20000 2000 0 256 64 f ---
 --- --- 7.7051 47.9725 20000 3000 0 256 64 f ---
 --- --- 10.5779 63.0970 20000 4000 0 256 64 f ---
 --- --- 13.4243 78.9011 20000 5000 0 256 64 f ---
 --- --- 16.3668 94.6371 20000 6000 0 256 64 f ---
 --- --- 19.5809 109.3202 20000 7000 0 256 64 f ---
 --- --- 22.6309 125.4133 20000 8000 0 256 64 f ---
 --- --- 25.8481 141.0475 20000 9000 0 256 64 f ---
 --- --- 29.1988 156.4229 20000 10000 0 256 64 f ---
 --- --- 32.5565 172.2197 20000 11000 0 256 64 f ---
 --- --- 35.8694 188.6936 20000 12000 0 256 64 f ---
 --- --- 39.3743 204.5942 20000 13000 0 256 64 f ---
 --- --- 42.8853 220.8946 20000 14000 0 256 64 f ---
 --- --- 46.4712 237.2324 20000 15000 0 256 64 f ---
 --- --- 50.1217 253.6579 20000 16000 0 256 64 f ---
 --- --- 53.8332 270.1871 20000 17000 0 256 64 f ---
 --- --- 57.7762 285.9695 20000 18000 0 256 64 f ---
 --- --- 61.9703 300.9412 20000 19000 0 256 64 f ---
 --- --- 65.9066 317.5789 20000 20000 0 256 64 f ---

