Seconds,GFLOPS
118.9551,175.9532
156.2929,178.5539
197.3331,183.8654
242.7295,190.2801
294.5803,196.0290
353.4355,201.1394
417.2915,206.9182
487.2115,212.7216
584.5234,210.6049
693.2192,208.9705
789.4673,214.1255

