
     Status       Error     Seconds      GFLOPS           M           N        PadA          NB          IB  Hous. mode      Ortho.
        ---         ---    118.9551    175.9532       20000       20000           0         256          64           f         ---
        ---         ---    156.2929    178.5539       22000       22000           0         256          64           f         ---
        ---         ---    197.3331    183.8654       24000       24000           0         256          64           f         ---
        ---         ---    242.7295    190.2801       26000       26000           0         256          64           f         ---
        ---         ---    294.5803    196.0290       28000       28000           0         256          64           f         ---
        ---         ---    353.4355    201.1394       30000       30000           0         256          64           f         ---
        ---         ---    417.2915    206.9182       32000       32000           0         256          64           f         ---
        ---         ---    487.2115    212.7216       34000       34000           0         256          64           f         ---
        ---         ---    584.5234    210.6049       36000       36000           0         256          64           f         ---
        ---         ---    693.2192    208.9705       38000       38000           0         256          64           f         ---
        ---         ---    789.4673    214.1255       40000       40000           0         256          64           f         ---

