N,V1,V2
500,20.787,25.5362
1000,27.4519,34.2548
1500,33.4927,45.931
2000,37.9711,46.9804
2500,43.3202,47.4886
3000,50.6067,48.0737
3500,53.583,56.7573
4000,56.2729,60.1964
4500,58.7149,62.2831
5000,60.9123,65.2048
5500,62.9297,67.3133
6000,65.5237,69.0112
6500,55.6322,61.4888
7000,63.2387,71.7978
7500,72.4347,68.6071
8000,68.755,71.3578
8500,71.7927,82.9017
9000,74.9943,79.2161
9500,79.3318,81.8854
10000,78.0257,82.3563
