
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0207   434.3052       l    3000   336     0       -1
      --         --     0.0199   452.5560       l    3000   336     0       -1
      --         --     0.0208   433.2440       l    3000   336     0       -1

      --         --     0.0177   510.1112       l    3000   344     0       -1
      --         --     0.0184   488.3385       l    3000   344     0       -1
      --         --     0.0183   491.5098       l    3000   344     0       -1

      --         --     0.0186   484.2933       l    3000   352     0       -1
      --         --     0.0183   492.5611       l    3000   352     0       -1
      --         --     0.0185   488.0230       l    3000   352     0       -1

      --         --     0.0193   467.3284       l    3000   360     0       -1
      --         --     0.0195   461.7745       l    3000   360     0       -1
      --         --     0.0195   461.3458       l    3000   360     0       -1

