
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0044    76.0069       l    1000   368     0       -1
      --         --     0.0040    82.9600       l    1000   368     0       -1

      --         --     0.0046    73.3050       l    1000   376     0       -1
      --         --     0.0046    72.1492       l    1000   376     0       -1
      --         --     0.0044    75.9204       l    1000   376     0       -1

      --         --     0.0046    72.1938       l    1000   384     0       -1
      --         --     0.0042    79.8836       l    1000   384     0       -1
      --         --     0.0043    78.4953       l    1000   384     0       -1

      --         --     0.0046    71.8088       l    1000   392     0       -1
      --         --     0.0044    75.9204       l    1000   392     0       -1
      --         --     0.0044    75.7315       l    1000   392     0       -1

      --         --     0.0048    70.0871       l    1000   400     0       -1
      --         --     0.0046    73.3396       l    1000   400     0       -1
      --         --     0.0044    76.1847       l    1000   400     0       -1

      --         --     0.0046    72.8891       l    1000   408     0       -1
      --         --     0.0047    70.4751       l    1000   408     0       -1
      --         --     0.0045    74.1867       l    1000   408     0       -1

      --         --     0.0051    65.0378       l    1000   416     0       -1
      --         --     0.0050    66.3822       l    1000   416     0       -1
      --         --     0.0047    70.6529       l    1000   416     0       -1

      --         --     0.0048    69.7971       l    1000   424     0       -1
      --         --     0.0052    64.5461       l    1000   424     0       -1
      --         --     0.0047    70.5923       l    1000   424     0       -1

      --         --     0.0054    61.6149       l    1000   432     0       -1
      --         --     0.0053    63.5040       l    1000   432     0       -1
      --         --     0.0052    64.2735       l    1000   432     0       -1

      --         --     0.0052    63.6946       l    1000   440     0       -1
      --         --     0.0053    63.3230       l    1000   440     0       -1
      --         --     0.0051    66.0908       l    1000   440     0       -1

      --         --     0.0054    62.0051       l    1000   448     0       -1
      --         --     0.0051    64.8601       l    1000   448     0       -1
      --         --     0.0053    63.3345       l    1000   448     0       -1

      --         --     0.0055    60.9869       l    1000   456     0       -1
      --         --     0.0053    63.4177       l    1000   456     0       -1
      --         --     0.0056    60.1279       l    1000   456     0       -1

      --         --     0.0058    57.5977       l    1000   464     0       -1
      --         --     0.0053    63.1659       l    1000   464     0       -1
      --         --     0.0061    54.7895       l    1000   464     0       -1

      --         --     0.0060    55.4798       l    1000   472     0       -1
      --         --     0.0061    54.8517       l    1000   472     0       -1
      --         --     0.0055    61.0401       l    1000   472     0       -1

      --         --     0.0057    59.0005       l    1000   480     0       -1
      --         --     0.0057    59.0030       l    1000   480     0       -1
      --         --     0.0058    57.9577       l    1000   480     0       -1

      --         --     0.0060    55.4820       l    1000   488     0       -1
      --         --     0.0060    55.6297       l    1000   488     0       -1
      --         --     0.0060    56.0304       l    1000   488     0       -1

      --         --     0.0060    55.4644       l    1000   496     0       -1
      --         --     0.0062    54.1579       l    1000   496     0       -1
      --         --     0.0062    53.6290       l    1000   496     0       -1

      --         --     0.0063    52.6985       l    1000   504     0       -1
      --         --     0.0063    53.1083       l    1000   504     0       -1
      --         --     0.0064    52.5719       l    1000   504     0       -1

      --         --     0.0064    52.5561       l    1000   512     0       -1
      --         --     0.0064    52.0404       l    1000   512     0       -1
      --         --     0.0064    52.3831       l    1000   512     0       -1

      --         --     0.0063    52.7959       l    1000   520     0       -1
      --         --     0.0060    55.6474       l    1000   520     0       -1
      --         --     0.0062    53.6886       l    1000   520     0       -1

      --         --     0.0059    56.4005       l    1000   528     0       -1
      --         --     0.0061    54.4507       l    1000   528     0       -1
      --         --     0.0063    53.0399       l    1000   528     0       -1

      --         --     0.0061    54.3176       l    1000   536     0       -1
      --         --     0.0061    54.3703       l    1000   536     0       -1
      --         --     0.0063    53.3125       l    1000   536     0       -1

      --         --     0.0061    55.1238       l    1000   544     0       -1
      --         --     0.0064    52.0056       l    1000   544     0       -1
      --         --     0.0061    54.8345       l    1000   544     0       -1

      --         --     0.0064    51.9265       l    1000   552     0       -1
      --         --     0.0065    51.7251       l    1000   552     0       -1
      --         --     0.0066    50.4122       l    1000   552     0       -1

      --         --     0.0062    53.4631       l    1000   560     0       -1
      --         --     0.0062    53.8621       l    1000   560     0       -1
      --         --     0.0061    55.0068       l    1000   560     0       -1

      --         --     0.0062    53.9742       l    1000   568     0       -1
      --         --     0.0061    54.8517       l    1000   568     0       -1
      --         --     0.0064    52.5147       l    1000   568     0       -1

      --         --     0.0064    52.3909       l    1000   576     0       -1
      --         --     0.0063    53.0057       l    1000   576     0       -1
      --         --     0.0063    53.1748       l    1000   576     0       -1

      --         --     0.0064    51.8458       l    1000   584     0       -1
      --         --     0.0063    53.3287       l    1000   584     0       -1
      --         --     0.0061    54.4952       l    1000   584     0       -1

      --         --     0.0713    37.4208       l    2000    64     0       -1
      --         --     0.0888    30.0390       l    2000    64     0       -1
      --         --     0.1006    26.5180       l    2000    64     0       -1

      --         --     0.0163   163.3901       l    2000    72     0       -1
      --         --     0.0171   155.8160       l    2000    72     0       -1
      --         --     0.0166   160.3587       l    2000    72     0       -1

      --         --     0.0153   174.3435       l    2000    80     0       -1
      --         --     0.0155   172.4047       l    2000    80     0       -1
      --         --     0.0159   167.4701       l    2000    80     0       -1

      --         --     0.0089   300.4886       l    2000    88     0       -1
      --         --     0.0092   289.8817       l    2000    88     0       -1
      --         --     0.0094   284.7780       l    2000    88     0       -1

      --         --     0.0132   201.8794       l    2000    96     0       -1
      --         --     0.0142   188.1210       l    2000    96     0       -1
      --         --     0.0142   187.6291       l    2000    96     0       -1

      --         --     0.0065   408.6750       l    2000   104     0       -1
      --         --     0.0066   403.8680       l    2000   104     0       -1
      --         --     0.0069   388.8553       l    2000   104     0       -1

      --         --     0.0062   430.7231       l    2000   112     0       -1
      --         --     0.0064   419.9918       l    2000   112     0       -1
      --         --     0.0063   424.0652       l    2000   112     0       -1

      --         --     0.0056   472.5861       l    2000   120     0       -1
