n,untuned,tuned
1000,34.9062,45.6595
2000,126.5022,123.9211
3000,210.2965,205.0719
4000,328.4334,356.4644
5000,507.7083,576.2414
6000,567.4799,610.8857
7000,646.5628,693.2506
8000,703.4398,755.9864
9000,725.4589,775.2703
10000,775.3621,810.3981
11000,765.2815,838.7386
12000,777.3785,879.3211
13000,773.5975,723.9181
14000,820.9316,832.9962
15000,820.1341,830.1769
16000,811.0688,862.9512
17000,819.4792,820.1182
18000,846.1768,841.3611
19000,848.0383,842.2102
20000,841.7171,837.9201
