n,untuned,tuned
1000,18.5694,25.6697
2000,86.7391,91.298
3000,150.1381,165.8796
4000,217.4006,288.0784
5000,242.1508,362.5543
6000,232.7211,376.4839
7000,271.5774,387.9934
8000,307.691,392.6453
9000,400.1146,420.5545
10000,400.3086,419.5444
11000,379.0543,434.1376
12000,409.4492,451.3523
13000,376.2443,452.039
14000,411.2343,454.7498
15000,406.6824,444.9092
16000,421.1533,441.2623
17000,413.6372,453.7515
18000,397.1465,454.3728
19000,420.4568,453.2676
20000,408.4315,456.5803
