n,untuned,tuned
1000,70.5893,74.4956
2000,194.9193,214.3834
3000,298.6952,367.2641
4000,269.4853,416.8623
5000,454.8394,464.1523
6000,425.6941,486.8604
7000,440.2778,489.3221
8000,472.8864,499.3452
9000,489.6403,486.1855
10000,485.0329,501.4566
11000,508.1893,525.0324
12000,516.8421,533.2576
13000,515.0568,535.9812
14000,513.2123,522.5026
15000,512.5720,530.4956
16000,509.8519,519.5000
17000,502.5117,519.3248
18000,510.0680,529.6072
19000,501.6326,522.9301
20000,494.5562,513.2794
