
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0077    43.5928       l    1000   368     0       -1
      --         --     0.0078    42.7346       l    1000   368     0       -1

      --         --     0.0078    42.9206       l    1000   376     0       -1
      --         --     0.0078    42.7007       l    1000   376     0       -1
      --         --     0.0077    43.2815       l    1000   376     0       -1

      --         --     0.0079    42.1138       l    1000   384     0       -1
      --         --     0.0080    41.8657       l    1000   384     0       -1
      --         --     0.0079    42.4354       l    1000   384     0       -1

      --         --     0.0083    40.2935       l    1000   392     0       -1
      --         --     0.0084    39.6904       l    1000   392     0       -1
      --         --     0.0082    40.4694       l    1000   392     0       -1

      --         --     0.0083    40.3469       l    1000   400     0       -1
      --         --     0.0089    37.4005       l    1000   400     0       -1
      --         --     0.0090    37.2334       l    1000   400     0       -1

      --         --     0.0086    38.6731       l    1000   408     0       -1
      --         --     0.0090    37.1415       l    1000   408     0       -1
      --         --     0.0084    39.9463       l    1000   408     0       -1

      --         --     0.0092    36.2549       l    1000   416     0       -1
      --         --     0.0103    32.5529       l    1000   416     0       -1
      --         --     0.0093    36.0087       l    1000   416     0       -1

      --         --     0.0104    32.2233       l    1000   424     0       -1
      --         --     0.0100    33.2636       l    1000   424     0       -1
      --         --     0.0094    35.3827       l    1000   424     0       -1

      --         --     0.0095    35.0523       l    1000   432     0       -1
      --         --     0.0100    33.5112       l    1000   432     0       -1
      --         --     0.0106    31.4171       l    1000   432     0       -1

      --         --     0.0104    32.1301       l    1000   440     0       -1
      --         --     0.0106    31.5588       l    1000   440     0       -1
      --         --     0.0107    31.2085       l    1000   440     0       -1

      --         --     0.0104    32.2137       l    1000   448     0       -1
      --         --     0.0105    31.8756       l    1000   448     0       -1
      --         --     0.0108    31.0080       l    1000   448     0       -1

      --         --     0.0120    27.8935       l    1000   456     0       -1
      --         --     0.0110    30.3290       l    1000   456     0       -1
      --         --     0.0108    30.8734       l    1000   456     0       -1

      --         --     0.0116    28.8683       l    1000   464     0       -1
      --         --     0.0108    30.9218       l    1000   464     0       -1
      --         --     0.0108    30.9703       l    1000   464     0       -1

      --         --     0.0112    29.7750       l    1000   472     0       -1
      --         --     0.0115    28.9884       l    1000   472     0       -1
      --         --     0.0110    30.4345       l    1000   472     0       -1

      --         --     0.0122    27.3926       l    1000   480     0       -1
      --         --     0.0118    28.2361       l    1000   480     0       -1
      --         --     0.0117    28.6304       l    1000   480     0       -1

      --         --     0.0124    27.0027       l    1000   488     0       -1
      --         --     0.0126    26.4233       l    1000   488     0       -1
      --         --     0.0119    28.0770       l    1000   488     0       -1

      --         --     0.0123    27.0424       l    1000   496     0       -1
      --         --     0.0121    27.4964       l    1000   496     0       -1
      --         --     0.0119    28.0888       l    1000   496     0       -1

      --         --     0.0125    26.6193       l    1000   504     0       -1
      --         --     0.0117    28.6310       l    1000   504     0       -1
      --         --     0.0116    28.7214       l    1000   504     0       -1

      --         --     0.0136    24.5645       l    1000   512     0       -1
      --         --     0.0131    25.4582       l    1000   512     0       -1
      --         --     0.0119    27.9637       l    1000   512     0       -1

      --         --     0.0119    27.9475       l    1000   520     0       -1
      --         --     0.0118    28.2697       l    1000   520     0       -1
      --         --     0.0122    27.4377       l    1000   520     0       -1

      --         --     0.0123    27.1052       l    1000   528     0       -1
      --         --     0.0121    27.6719       l    1000   528     0       -1
      --         --     0.0119    28.0062       l    1000   528     0       -1

      --         --     0.0120    27.8287       l    1000   536     0       -1
      --         --     0.0120    27.7801       l    1000   536     0       -1
      --         --     0.0118    28.2909       l    1000   536     0       -1

      --         --     0.0121    27.5755       l    1000   544     0       -1
      --         --     0.0120    27.7273       l    1000   544     0       -1
      --         --     0.0116    28.7492       l    1000   544     0       -1

      --         --     0.0121    27.5348       l    1000   552     0       -1
      --         --     0.0123    27.2095       l    1000   552     0       -1
      --         --     0.0119    28.0135       l    1000   552     0       -1

      --         --     0.0125    26.6537       l    1000   560     0       -1
      --         --     0.0120    27.7201       l    1000   560     0       -1
      --         --     0.0116    28.7368       l    1000   560     0       -1

      --         --     0.0121    27.6878       l    1000   568     0       -1
      --         --     0.0123    27.1362       l    1000   568     0       -1
      --         --     0.0121    27.6670       l    1000   568     0       -1

      --         --     0.0124    26.9311       l    1000   576     0       -1
      --         --     0.0121    27.5689       l    1000   576     0       -1
      --         --     0.0125    26.7494       l    1000   576     0       -1

      --         --     0.0121    27.5326       l    1000   584     0       -1
      --         --     0.0125    26.7259       l    1000   584     0       -1
      --         --     0.0124    26.9176       l    1000   584     0       -1

      --         --     0.0692    38.5400       l    2000    64     0       -1
      --         --     0.0615    43.3986       l    2000    64     0       -1
      --         --     0.1106    24.1251       l    2000    64     0       -1

      --         --     0.0173   153.9727       l    2000    72     0       -1
      --         --     0.0176   151.8958       l    2000    72     0       -1
      --         --     0.0177   150.4584       l    2000    72     0       -1

      --         --     0.0206   129.6920       l    2000    80     0       -1
      --         --     0.0208   128.1346       l    2000    80     0       -1
      --         --     0.0213   125.3663       l    2000    80     0       -1

      --         --     0.0095   280.5313       l    2000    88     0       -1
      --         --     0.0098   273.3449       l    2000    88     0       -1
      --         --     0.0099   269.0738       l    2000    88     0       -1

      --         --     0.0148   180.7804       l    2000    96     0       -1
      --         --     0.0144   185.3762       l    2000    96     0       -1
      --         --     0.0157   169.5683       l    2000    96     0       -1

      --         --     0.0090   296.5479       l    2000   104     0       -1
      --         --     0.0090   295.1093       l    2000   104     0       -1
      --         --     0.0088   304.0144       l    2000   104     0       -1

      --         --     0.0088   303.2977       l    2000   112     0       -1
      --         --     0.0089   301.3380       l    2000   112     0       -1
      --         --     0.0091   292.7169       l    2000   112     0       -1

      --         --     0.0085   313.1491       l    2000   120     0       -1
      --         --     0.0088   302.2575       l    2000   120     0       -1
      --         --     0.0087   305.3413       l    2000   120     0       -1

      --         --     0.0096   279.1461       l    2000   128     0       -1
      --         --     0.0097   274.7809       l    2000   128     0       -1
      --         --     0.0098   272.7853       l    2000   128     0       -1

      --         --     0.0088   303.2566       l    2000   136     0       -1
      --         --     0.0087   305.4746       l    2000   136     0       -1
      --         --     0.0086   309.6578       l    2000   136     0       -1

      --         --     0.0089   300.6985       l    2000   144     0       -1
      --         --     0.0090   296.1869       l    2000   144     0       -1
      --         --     0.0093   288.2542       l    2000   144     0       -1

      --         --     0.0096   276.5460       l    2000   152     0       -1
      --         --     0.0093   287.1082       l    2000   152     0       -1
      --         --     0.0093   286.1248       l    2000   152     0       -1

      --         --     0.0097   276.1435       l    2000   160     0       -1
      --         --     0.0098   271.1203       l    2000   160     0       -1
      --         --     0.0098   272.2545       l    2000   160     0       -1

      --         --     0.0095   281.3564       l    2000   168     0       -1
      --         --     0.0097   274.1886       l    2000   168     0       -1
      --         --     0.0095   280.3838       l    2000   168     0       -1

      --         --     0.0109   243.7331       l    2000   176     0       -1
      --         --     0.0099   268.8282       l    2000   176     0       -1
      --         --     0.0099   269.9694       l    2000   176     0       -1

      --         --     0.0105   253.8429       l    2000   184     0       -1
      --         --     0.0107   250.1050       l    2000   184     0       -1
      --         --     0.0101   263.5741       l    2000   184     0       -1

      --         --     0.0112   239.2374       l    2000   192     0       -1
      --         --     0.0106   251.3123       l    2000   192     0       -1
      --         --     0.0107   249.9710       l    2000   192     0       -1

      --         --     0.0113   236.5827       l    2000   200     0       -1
      --         --     0.0117   227.1762       l    2000   200     0       -1
      --         --     0.0111   241.0250       l    2000   200     0       -1

      --         --     0.0109   245.4165       l    2000   208     0       -1
      --         --     0.0118   226.7712       l    2000   208     0       -1
      --         --     0.0109   244.2277       l    2000   208     0       -1

      --         --     0.0121   220.5861       l    2000   216     0       -1
      --         --     0.0115   232.3012       l    2000   216     0       -1
      --         --     0.0117   227.3932       l    2000   216     0       -1

      --         --     0.0116   229.3266       l    2000   224     0       -1
      --         --     0.0116   230.6355       l    2000   224     0       -1
      --         --     0.0119   223.8282       l    2000   224     0       -1

      --         --     0.0121   220.3343       l    2000   232     0       -1
      --         --     0.0122   217.8852       l    2000   232     0       -1
      --         --     0.0126   212.4068       l    2000   232     0       -1

      --         --     0.0124   215.1463       l    2000   240     0       -1
      --         --     0.0131   204.1661       l    2000   240     0       -1
      --         --     0.0124   215.3035       l    2000   240     0       -1

      --         --     0.0132   202.6322       l    2000   248     0       -1
      --         --     0.0129   207.3237       l    2000   248     0       -1
      --         --     0.0131   203.7461       l    2000   248     0       -1

      --         --     0.0139   191.5922       l    2000   256     0       -1
      --         --     0.0139   191.3989       l    2000   256     0       -1
      --         --     0.0140   191.0689       l    2000   256     0       -1

      --         --     0.0136   195.6340       l    2000   264     0       -1
      --         --     0.0133   200.9227       l    2000   264     0       -1
      --         --     0.0132   201.9413       l    2000   264     0       -1

      --         --     0.0141   188.6664       l    2000   272     0       -1
      --         --     0.0140   190.7141       l    2000   272     0       -1
      --         --     0.0142   188.1621       l    2000   272     0       -1

      --         --     0.0146   183.1858       l    2000   280     0       -1
      --         --     0.0147   181.1843       l    2000   280     0       -1
      --         --     0.0147   181.7403       l    2000   280     0       -1

      --         --     0.0152   175.4778       l    2000   288     0       -1
      --         --     0.0153   173.9101       l    2000   288     0       -1
      --         --     0.0156   171.2756       l    2000   288     0       -1

      --         --     0.0155   171.8066       l    2000   296     0       -1
      --         --     0.0154   173.6726       l    2000   296     0       -1
      --         --     0.0157   170.1741       l    2000   296     0       -1

      --         --     0.0161   165.3451       l    2000   304     0       -1
      --         --     0.0158   168.5723       l    2000   304     0       -1
      --         --     0.0159   168.3694       l    2000   304     0       -1

      --         --     0.0162   164.2870       l    2000   312     0       -1
      --         --     0.0164   163.1519       l    2000   312     0       -1
      --         --     0.0165   161.7164       l    2000   312     0       -1

      --         --     0.0175   152.7311       l    2000   320     0       -1
      --         --     0.0172   155.0455       l    2000   320     0       -1
      --         --     0.0175   152.9230       l    2000   320     0       -1

      --         --     0.0184   145.3776       l    2000   328     0       -1
      --         --     0.0180   148.4411       l    2000   328     0       -1
