n,untuned,tuned
1000,14.202,14.0128
2000,68.9948,84.0432
3000,147.5526,174.705
4000,207.7879,258.4817
5000,299.5065,274.9523
6000,238.2267,333.592
7000,311.5028,345.342
8000,338.0371,411.2648
9000,387.1252,422.0118
10000,429.317,448.4779
11000,456.6231,456.3592
12000,444.0776,456.7194
13000,460.7697,460.8408
14000,459.3002,459.5428
15000,430.2194,458.0204
16000,481.5916,489.7031
17000,486.7391,482.1809
18000,479.2554,485.3219
19000,485.859,489.002
20000,485.0306,483.1234
