n,untuned,tuned
1000,21.0126,50.9054
2000,76.9801,87.1747
3000,120.4794,169.7494
4000,186.244,242.7475
5000,228.0121,303.3918
6000,231.9992,321.3588
7000,319.7603,337.6604
8000,327.7305,421.2454
9000,405.7169,530.975
10000,446.3846,530.3817
11000,467.7019,586.0676
12000,453.302,579.9464
13000,495.0375,668.61
14000,570.6744,674.5202
15000,575.4453,675.4224
16000,598.9642,703.3066
17000,630.3783,769.4905
18000,630.2487,763.5495
19000,605.7848,768.2521
20000,681.9255,841.5297
