
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0234    28.5117    1000    1000   384    16     0     8       -1
      --         --     0.0242    27.5582    1000    1000   384    16     0     8       -1

      --         --     0.0255    26.1592    1000    1000   392    16     0     8       -1
      --         --     0.0239    27.8198    1000    1000   392    16     0     8       -1
      --         --     0.0217    30.7194    1000    1000   392    16     0     8       -1

      --         --     0.0243    27.3966    1000    1000   400    16     0     8       -1
      --         --     0.0244    27.3005    1000    1000   400    16     0     8       -1
      --         --     0.0236    28.2085    1000    1000   400    16     0     8       -1

      --         --     0.0229    29.1168    1000    1000   408    16     0     8       -1
      --         --     0.0231    28.8655    1000    1000   408    16     0     8       -1
      --         --     0.0220    30.3260    1000    1000   408    16     0     8       -1

      --         --     0.0253    26.3283    1000    1000   416    16     0     8       -1
      --         --     0.0224    29.7088    1000    1000   416    16     0     8       -1
      --         --     0.0259    25.7294    1000    1000   416    16     0     8       -1

      --         --     0.0245    27.2096    1000    1000   424    16     0     8       -1
      --         --     0.0233    28.6505    1000    1000   424    16     0     8       -1
      --         --     0.0245    27.1379    1000    1000   424    16     0     8       -1

      --         --     0.0238    27.9804    1000    1000   432    16     0     8       -1
      --         --     0.0253    26.3212    1000    1000   432    16     0     8       -1
      --         --     0.0252    26.4702    1000    1000   432    16     0     8       -1

      --         --     0.0283    23.5534    1000    1000   440    16     0     8       -1
      --         --     0.0339    19.6340    1000    1000   440    16     0     8       -1
      --         --     0.0263    25.3342    1000    1000   440    16     0     8       -1

      --         --     0.0263    25.3661    1000    1000   448    16     0     8       -1
      --         --     0.0273    24.4197    1000    1000   448    16     0     8       -1
      --         --     0.0307    21.7127    1000    1000   448    16     0     8       -1

      --         --     0.0327    20.3425    1000    1000   456    16     0     8       -1
      --         --     0.0272    24.5187    1000    1000   456    16     0     8       -1
      --         --     0.0288    23.1354    1000    1000   456    16     0     8       -1

      --         --     0.0296    22.5294    1000    1000   464    16     0     8       -1
      --         --     0.0267    24.9308    1000    1000   464    16     0     8       -1
      --         --     0.0263    25.3489    1000    1000   464    16     0     8       -1

      --         --     0.0280    23.8001    1000    1000   472    16     0     8       -1
      --         --     0.0278    23.9291    1000    1000   472    16     0     8       -1
