n,untuned,tuned
1000,29.9788,83.5093
2000,101.256,133.9172
3000,168.2055,239.9118
4000,265.8226,312.4222
5000,305.3796,410.0128
6000,344.7891,536.6595
7000,589.2137,727.8433
8000,737.1812,789.5525
9000,776.6374,826.0045
10000,785.7364,858.6812
11000,895.6981,896.1108
12000,926.362,934.5670
13000,934.1566,986.2411
14000,981.0761,1024.5327
15000,958.4704,996.2965
16000,894.7228,989.0976
17000,1027.8263,1044.1921
18000,1072.0627,1061.809
19000,1006.2351,1056.6815
20000,1051.4225,1055.0084
