n,untuned,tuned
1000,13.2845,16.871
2000,46.3082,71.9593
3000,82.7804,127.6143
4000,108.3713,153.6727
5000,107.5865,211.4249
6000,151.1928,254.5952
7000,178.1446,276.8953
8000,210.3288,298.8107
9000,206.6644,326.8235
10000,250.5934,336.9685
11000,236.7001,336.0859
12000,243.7442,360.872
13000,288.2499,385.0587
14000,295.6701,398.1711
15000,287.523,404.6794
16000,312.7891,414.9262
17000,319.2819,392.8748
18000,327.9432,436.2686
19000,331.2477,402.4097
20000,342.165,423.8357
